Area,Renamed Polygon,Sitecode,Tidestation,Latitude.DMS,Longitude.DMS,Latitude.DD,Longitude.DD,Description,Tidetype,Polygon ID,Atlas ID#,Region,Stock,BuoySite
N of Cape Johnson,N of Cape Johnson/Bluff Point Reef,5.02,Aberdeen,47 58.51,124 41.03,47.9808,-124.6842,"Intertidal reef complex off Cape Johnson, 'Bluff Point Reef'.",LOW,502,130,Olympic Coast N,Coastal,0
Sandy Is.,Sandy Island,5.03,Aberdeen,47 59.21,124 41.24,47.9892,-124.69,Intertidal reef complex around Sandy Island (USFWS ID 275).,LOW,503,131,Olympic Coast N,Coastal,0
Reef NE of Sandy Is.,Reef NE of Sandy Island,5.04,Aberdeen,47 59.48,124 40.82,47.9967,-124.6894,Intertidal area off point northeast of Sandy Island.,LOW,504,132,Olympic Coast N,Coastal,0
Sea Lion Rock,Sea Lion Rock (North coast),5.05,Aberdeen,47 59.59,124 43.45,47.9997,-124.7292,On inshore ledges of Sea Lion Rock (USFWS ID 271 and 272) area.,LOW,505,133,Olympic Coast N,Coastal,0
Carroll Island,Carroll Island,5.06,Aberdeen,48  0.34,124 43.33,48.0094,-124.7258,On ledges and tunnel areas around entire island.,ALL,506,134,Olympic Coast N,Coastal,0
E of Jagged Is.,E of Jagged Island,5.07,Aberdeen,47 59.78,124 41.48,48.005,-124.6967,On intertidal reef areas east of Bald Island (Jagged Islet).,LOW,507,135,Olympic Coast N,Coastal,0
S Cedar Creek Area,Cedar Creek Area,5.08,Aberdeen,48  1.22,124 41.11,48.0228,-124.6864,Reef areas south of Cedar Creek.,LOW,508,136,Olympic Coast N,Coastal,0
N Cedar Creek Area,Cedar Creek Area,5.08,Aberdeen,48  1.78,124 41.19,48.0383,-124.6886,Reef areas off stack just north of Cedar Creek.,LOW,508,137,Olympic Coast N,Coastal,0
Norwegian Memorial Area,Cedar Creek Area,5.08,Aberdeen,48  1.52,124 41.04,48.0311,-124.6844,Reef areas north of Cedar Creek off Norwegian Memorial.,LOW,508,138,Olympic Coast N,Coastal,0
S Yellow Banks,Reef S of Yellow Banks,5.09,Aberdeen,48  5.14,124 41.83,48.0872,-124.7064,Reef areas just south of Yellow Banks.,LOW,509,139,Olympic Coast N,Coastal,0
Sand Point Area,Sand Point Area,5.1,Aberdeen,48  7.54,124 43.81,48.1317,-124.7392,Reef complex offshore from Sand Point.,LOW,510,140,Olympic Coast N,Coastal,0
Sand Point Area,Sand Point Area,5.1,Aberdeen,48  7.55,124 42.79,48.1319,-124.7219,Reef complex around Sand Point.,LOW,510,141,Olympic Coast N,Coastal,0
E of White Rock,Reefs Inshore of White Rock,5.11,Aberdeen,48  8.39,124 43.16,48.1442,-124.7211,Reef complex inshore from White Rock.,LOW,511,142,Olympic Coast N,Coastal,0
E of White Rock,Reefs Inshore of White Rock,5.11,Aberdeen,48  8.22,124 43.07,48.1394,-124.7186,Reef complex inshore from White Rock.,LOW,511,143,Olympic Coast N,Coastal,0
Cape Alava Area,Cape Alava/Cannonball Area,5.12,Aberdeen,48  9.86,124 44.19,48.1739,-124.7386,Reef complex around Cape Alava.,LOW,512,144,Olympic Coast N,Coastal,0
Cape Alava Area,Cape Alava/Cannonball Area,5.12,Aberdeen,48  9.52,124 44.74,48.1644,-124.7539,Reef complex inshore from Ozette Island.,LOW,512,145,Olympic Coast N,Coastal,0
Bodelteh Is. Area,Bodelteh Island Area,5.13,Aberdeen,48 10.55,124 45.20,48.1819,-124.7556,Reef areas on northeast side of island.,LOW,513,146,Olympic Coast N,Coastal,0
Bodelteh Is. Area,Bodelteh Island Area,5.13,Aberdeen,48 10.52,124 45.49,48.1811,-124.7636,Reef areas on south side of island.,LOW,513,147,Olympic Coast N,Coastal,0
W Bodelteh Is. Area,Bodelteh Island Area,5.13,Aberdeen,48 10.67,124 45.89,48.1853,-124.7747,Rocks and reef areas off west end of island.,ALL,513,148,Olympic Coast N,Coastal,0
Ozette Is. Area,S Ozette Island,5.14,Aberdeen,48  9.32,124 43.85,48.1589,-124.7403,Reef areas southeast of Ozette Island.,LOW,514,149,Olympic Coast N,Coastal,0
Ozette Is. Area,S Ozette Island,5.14,Aberdeen,48  9.24,124 44.71,48.1567,-124.7531,Intertidal areas on south side of island.,LOW,514,150,Olympic Coast N,Coastal,0
Umatilla Reef,Umatilla Reef,5.15,Aberdeen,48 11.10,124 47.02,48.1861,-124.7839,Intertidal reef areas at Umatilla Reef.,LOW,515,151,Olympic Coast N,Coastal,0
N of Cape Alava,"N of Cape Alava/""Guano Rock""",5.16,Aberdeen,48 10.91,124 44.43,48.1919,-124.7453,Unnamed rock 'Guano Rock'  (USFWS ID 158) northwest from Cape Alava.,ALL,516,152,Olympic Coast N,Coastal,0
S of Point of Arches,S of Point of Arches,5.17,Aberdeen,48 14.17,124 42.17,48.2381,-124.7047,Reef areas south of Point of Arches.,LOW,517,153,Olympic Coast N,Coastal,0
S of Point of Arches,S of Point of Arches,5.17,Aberdeen,48 14.54,124 42.39,48.2483,-124.7108,Reef areas south of Point of Arches.,LOW,517,154,Olympic Coast N,Coastal,0
S of Point of Arches,S of Point of Arches,5.17,Aberdeen,48 14.42,124 42.35,48.245,-124.7097,Reef areas south of Point of Arches.,LOW,517,155,Olympic Coast N,Coastal,0
S of Point of Arches,S of Point of Arches,5.17,Aberdeen,48 14.04,124 42.28,48.2344,-124.7078,Inshore ledges on 'Cook Rock' (USFWS ID 119).,LOW,517,156,Olympic Coast N,Coastal,0
Point of Arches,Point of Arches,5.18,Aberdeen,48 14.92,124 42.11,48.2589,-124.7031,Intertidal reef areas on south side of Point of Arches.,LOW,518,157,Olympic Coast N,Coastal,0
Portage Head Area,Portage Head Area,5.19,Aberdeen,48 16.76,124 40.97,48.2878,-124.6936,Reef areas off 'shipwreck' beach.,LOW,519,158,Olympic Coast N,Coastal,0
Waatch Point,Waatch Point,5.2,Aberdeen,48 20.39,124 41.56,48.3442,-124.6989,Rocks and reef areas off Waatch Point.,LOW,520,159,Olympic Coast N,Coastal,0
S of Fuca Pillar/Skagway,S of Fuca Pillar/Skagway,5.21,Aberdeen,48 22.22,124 43.68,48.3728,-124.7356,Rocks and reef areas around Skagway Rocks and Fuca Pillar.,LOW,521,160,Olympic Coast N,Coastal,0
Tatoosh Is. Area,Tatoosh Island Area,5.22,Aberdeen,48 23.53,124 44.34,48.3981,-124.7428,Intertidal rocks off west side of island.,LOW,522,161,Olympic Coast N,Coastal,0
Tatoosh Is. Area,Tatoosh Island Area,5.22,Aberdeen,48 23.57,124 44.57,48.3992,-124.7492,Intertidal rocks and reef areas off west side of island.,ALL,522,162,Olympic Coast N,Coastal,0
E Tatoosh Is. Area,Tatoosh Island Area,5.22,Aberdeen,48 23.51,124 43.83,48.3975,-124.7397,Intertidal rocks on east side of island.,ALL,522,163,Olympic Coast N,Coastal,0
Allen's Bay/Midway Area,Midway Beach/W of Allens Bay/Lk Ozette,5.23,Aberdeen,48  3.69,124 41.69,48.0692,-124.7025,Reef areas along midway beach (off Allen's Bay in Lake Ozette).,LOW,523,164,Olympic Coast N,Coastal,0
Allen's Bay/Midway Area,Midway Beach/W of Allens Bay/Lk Ozette,5.23,Aberdeen,48  3.25,124 41.51,48.0569,-124.6975,Reef areas off south end of Lake Ozette.,LOW,523,165,Olympic Coast N,Coastal,0
N Yellow Banks,Reef N of Yellow Banks,5.24,Aberdeen,48  6.16,124 41.63,48.1044,-124.7008,Reef area at point north of Yellow Banks.,LOW,524,166,Olympic Coast N,Coastal,0
Duk Point Area,Duk Point Area,5.25,Aberdeen,48 12.23,124 42.08,48.2064,-124.7022,On scattered rocks and reef areas off Duk Point.,LOW,525,167,Olympic Coast N,Coastal,0
Father and Son Area,Father and Son Area,5.26,Aberdeen,48 13.57,124 42.70,48.2325,-124.7194,Intertidal ledges on inshore side of Father and Son Rocks.,LOW,526,168,Olympic Coast N,Coastal,0
Inshore of Father and Son,Inshore of Father and Son,5.27,Aberdeen,48 13.64,124 41.92,48.2344,-124.7089,Reef areas inshore from Father and Son Rocks.,LOW,527,169,Olympic Coast N,Coastal,0
Strawberry Rocks/ Anderson Point,Strawberry Rocks,5.28,Aberdeen,48 19.00,124 41.99,48.3167,-124.7108,North Portage Head,Low low,528,,Olympic Coast N,Coastal,0
In Tow,In Tow,5.89,Aberdeen,,,,,animals in tow,,589,,Olympic Coast N,Coastal,0
Unspecified-H2O,Unspecified-H2O,5.99,Aberdeen,?,?,,,Animals in open water,ALL,599,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,6,Aberdeen,,,,,unknown haul out location 6.00,,600,,Strait of Juan de Fuca,Northern Inland,0
Waadah Is.,Waadah Island Area,6.01,Aberdeen,48 22.93,124 35.50,48.3925,-124.5972,Reef area on east side of Waadah Island.,LOW,601,170,Strait of Juan de Fuca,Northern Inland,0
N Waadah Is.,Waadah Island Area,6.01,Aberdeen,48 23.15,124 35.98,48.3875,-124.6106,On north tip of island.,ALL,601,171,Strait of Juan de Fuca,Northern Inland,0
Seal and Sail Rock Area,Seal & Sail Rock Area,6.02,Aberdeen,48 21.71,124 32.74,48.3697,-124.5539,Intertidal areas on Seal Rock.,LOW,602,172,Strait of Juan de Fuca,Northern Inland,0
Seal and Sail Rock Area,Seal & Sail Rock Area,6.02,Aberdeen,48 21.55,124 32.63,48.3653,-124.5508,Intertidal areas on Sail Rock.,LOW,602,173,Strait of Juan de Fuca,Northern Inland,0
Seal and Sail Rock Area,Seal & Sail Rock Area,6.02,Aberdeen,48 21.16,124 31.90,48.3544,-124.5417,Intertidal reef areas east of Sail Rock.,LOW,602,174,Strait of Juan de Fuca,Northern Inland,0
W of Seiku River Mouth,WEST OF SEIKU RIVER,6.03,Aberdeen,48 18.07,124 24.76,48.3019,-124.4211,Intertidal reef areas west of Sekiu River.,LOW,603,175,Strait of Juan de Fuca,Northern Inland,0
W of Seiku River Mouth,WEST OF SEIKU RIVER,6.03,Aberdeen,48 18.30,124 25.18,48.3083,-124.4217,Intertidal reef areas west of Sekiu River.,LOW,603,176,Strait of Juan de Fuca,Northern Inland,0
Eagle Point Area,KYDAKA POINT TO SEIKU POINT,6.04,Aberdeen,48 16.48,124 19.48,48.28,-124.33,Intertidal ledges east of Eagle Point.,LOW,604,179,Strait of Juan de Fuca,Northern Inland,0
Eagle Point Area,KYDAKA POINT TO SEIKU POINT,6.04,Aberdeen,48 16.75,124 20.44,48.2875,-124.3456,Intertidal ledges east of Eagle Point.,LOW,604,177,Strait of Juan de Fuca,Northern Inland,0
Eagle Point Area,KYDAKA POINT TO SEIKU POINT,6.04,Aberdeen,48 16.58,124 19.97,48.2828,-124.3436,Intertidal ledges east of Eagle Point.,LOW,604,178,Strait of Juan de Fuca,Northern Inland,0
Slip Point Area,SLIP POINT AREA,6.05,Aberdeen,48 15.73,124 14.03,48.2703,-124.2342,Intertidal ledges east of Slip Point.,LOW,605,180,Strait of Juan de Fuca,Northern Inland,0
Slip Point Area,SLIP POINT AREA,6.05,Aberdeen,48 15.44,124 13.43,48.2622,-124.2286,Intertidal ledges east of Slip Point.,LOW,605,181,Strait of Juan de Fuca,Northern Inland,0
Slip Point Area,SLIP POINT AREA,6.05,Aberdeen,48 15.03,124 12.37,48.2508,-124.2103,Intertidal ledges east of Slip Point.,LOW,605,182,Strait of Juan de Fuca,Northern Inland,0
W of Pillar Point Area,PILLAR POINT AREA,6.06,Aberdeen,48 13.30,124  7.06,48.225,-124.1183,Intertidal ledges west of Pillar Point.,LOW,606,183,Strait of Juan de Fuca,Northern Inland,0
W of Pillar Point Area,PILLAR POINT AREA,6.06,Aberdeen,48 13.07,124  6.05,48.2186,-124.1014,Intertidal ledges west of Pillar Point.,LOW,606,184,Strait of Juan de Fuca,Northern Inland,0
W of Pillar Point Area,PILLAR POINT AREA,6.06,Aberdeen,48 13.64,124  8.26,48.2344,-124.1406,Intertidal ledges west of Pillar Point.,LOW,606,185,Strait of Juan de Fuca,Northern Inland,0
Deep Creek Area,Pyst River to Twin Rivers,6.07,Aberdeen,48 10.70,124  2.57,48.1861,-124.0492,Reef areas off Deep Creek.,LOW,607,186,Strait of Juan de Fuca,Northern Inland,0
Deep Creek Area,Pyst River to Twin Rivers,6.07,Aberdeen,48 10.56,124  1.48,48.1822,-124.03,Reef areas off Deep Creek.,LOW,607,187,Strait of Juan de Fuca,Northern Inland,0
Deep Creek Area,Pyst River to Twin Rivers,6.07,Aberdeen,48 10.39,124  0.24,48.1775,-124.0067,Reef areas off Deep Creek.,LOW,607,188,Strait of Juan de Fuca,Northern Inland,0
Low Point/Lyre R. Area,Twin River to Lyre River,6.08,Port Townsend,48  9.62,123 49.88,48.1672,-123.8411,Scattered rocks and reef areas east of Lyre River.,LOW,608,189,Strait of Juan de Fuca,Northern Inland,0
Crescent Bay/Tongue Pt.,Tongue Point to Observatory Point,6.09,Port Townsend,48 10.07,123 42.50,48.1686,-123.7139,Intertidal areas off Tongue Point.,LOW,609,190,Strait of Juan de Fuca,Northern Inland,0
Striped Peak Area,Tongue Point to Observatory Point,6.1,Port Townsend,48  9.85,123 40.80,48.1736,-123.6889,Intertidal ledges north of Striped Peak.,LOW,610,191,Strait of Juan de Fuca,Northern Inland,0
Striped Peak Area,Tongue Point to Observatory Point,6.1,Port Townsend,48  9.85,123 41.33,48.1736,-123.6925,Intertidal ledges north of Striped Peak.,LOW,610,192,Strait of Juan de Fuca,Northern Inland,0
Striped Peak Area,Tongue Point to Observatory Point,6.1,Port Townsend,48  9.73,123 40.03,48.1703,-123.6675,Intertidal ledges north of Striped Peak.,LOW,610,193,Strait of Juan de Fuca,Northern Inland,0
Striped Peak Area,Tongue Point to Observatory Point,6.1,Port Townsend,48  9.60,123 39.65,48.1667,-123.6681,Intertidal ledges north of Striped Peak.,LOW,610,194,Strait of Juan de Fuca,Northern Inland,0
Port Angeles Area,Port Angeles Hospital and Old Mill,6.11,Port Townsend,48  7.07,123 24.67,48.1186,-123.4186,Log booms off the ITT-Rayonier mill site (closed in 1997).,LOW,611,195,Strait of Juan de Fuca,Northern Inland,0
Port Angeles Area,Ediz Hook paper mill & Log Booms,6.12,Port Townsend,48  8.21,123 27.46,48.1392,-123.4628,Log booms on inside of Ediz Hook in Port Angeles harbor.,LOW,612,196,Strait of Juan de Fuca,Northern Inland,0
Rocks E of Pysht R.,Pyst River to  Twin Rivers,6.13,Port Townsend,48 11.86,124  5.25,48.2072,-124.0903,Scattered intertidal rocks and reef areas east of the Pysht River.,LOW,613,197,Strait of Juan de Fuca,Northern Inland,0
Twin River Area,Twin River to Lyre River,6.14,Port Townsend,48  9.76,123 55.06,48.1711,-123.9183,Scattered intertidal rocks and reef areas near Twin Rivers.,LOW,614,198,Strait of Juan de Fuca,Northern Inland,0
Twin River Area,Twin River to Lyre River,6.14,Port Townsend,48  9.82,123 52.69,48.1728,-123.8858,Scattered intertidal rocks and reef areas near Twin Rivers.,LOW,614,199,Strait of Juan de Fuca,Northern Inland,0
Seabird Rocks,Seabird Rocks,6.15,Port Townsend,48 44.91,125  9.32,48.7586,-125.1589,Intertidal rocks and reef areas around Seabird Rocks.,LOW,615,200,BC,CANADA,0
Sombrio Pt Reef,Sombrio Pt/Sombrio Reef,6.16,Port Townsend,48 29.72,124 17.99,48.5033,-124.3108,Intertidal rocks and reef areas around Sombrio Point.,LOW,616,201,BC,CANADA,0
Sombrio Pt,Sombrio Pt/Sombrio Reef,6.16,Port Townsend,48 29.11,124 17.25,48.4864,-124.2903,Intertidal ledges near Sombrio Point.,LOW,616,202,BC,CANADA,0
Carmanah Pt. Reef,Rock W of Carmanah Point,6.17,Port Townsend,48 36.96,124 45.62,48.6267,-124.7672,Offshore rock near Carmanah Point.,LOW,617,203,BC,CANADA,0
Dare Pt. Reef,Dare Pt Reef,6.18,Port Townsend,48 38.64,124 48.11,48.6511,-124.8031,Reef area off Dare Point.,LOW,618,204,BC,CANADA,0
Sooke Harbor,Sooke Harbor,6.19,Port Townsend,48 21.32,123 43.43,48.3589,-123.7286,Sooke Harbor area.,LOW,619,205,BC,CANADA,0
Sooke Harbor,Sooke Harbor,6.19,Port Townsend,48 22.26,123 42.90,48.3739,-123.725,Intertidal area off Sooke Harbor.,LOW,619,206,BC,CANADA,0
Otter Point,Otter Point,6.21,Port Townsend,48 21.48,123 49.43,48.3633,-123.8286,Intertidal rocks and reef areas off Otter Point.,LOW,621,207,BC,CANADA,0
NW of Church Pt,NW of Church Pt,6.22,Port Townsend,48 18.79,123 35.40,48.3219,-123.5944,Intertidal rocks and reef areas off Church Point.,LOW,622,208,BC,CANADA,0
Becher Bay,Beecher Bay,6.23,Port Townsend,48 19.68,123 36.55,48.3356,-123.6153,Intertidal rocks and reef areas around small island in Becher Bay.,LOW,623,209,BC,CANADA,0
Muir Pt,Muir Point,6.24,Port Townsend,48 22.75,123 52.25,48.3875,-123.8736,Intertidal rocks and reef areas off Muir Point.,LOW,624,210,BC,CANADA,0
E San Simon Pt,E San Simon Point,6.25,Port Townsend,48 26.02,124  5.48,48.4339,-124.0967,Intertidal ledges and rocks east of San Simon Point.,LOW,625,211,BC,CANADA,0
Owen Pt,Owen Point,6.26,Port Townsend,48 32.68,124 29.99,48.5522,-124.5108,Intertidal ledges and rocks off Owen Point.,LOW,626,212,BC,CANADA,0
W Tsuquanah Pt,W Tsuquanah Point,6.27,Port Townsend,48 40.40,124 52.91,48.6778,-124.8919,Intertidal rocks and reef areas west of Tsuquanah Point.,LOW,627,213,BC,CANADA,0
E Pachena Pt,Pachena Point,6.28,Port Townsend,48 43.21,125  4.81,48.7225,-125.0892,Intertidal rocks and reef areas east of Pachena Point.,LOW,628,214,BC,CANADA,0
E of Cape Beale,CAPE BEALE AREA,6.29,Port Townsend,48 47.03,125 10.51,48.7842,-125.1808,Intertidal rocks and reef areas east of Cape Beale.,LOW,629,215,BC,CANADA,0
Cullite Cove,Cullite Cove,6.3,Port Townsend,48 34.12,124 37.10,48.57,-124.6194,Intertidal rocks and reef areas off Cullite Cove.,LOW,630,216,BC,CANADA,0
Walbran Creek,Walbran Creek,6.31,Port Townsend,48 34.81,124 39.91,48.5892,-124.6753,Intertidal rocks and reef areas off Walbran Creek.,LOW,631,217,BC,CANADA,0
Cerrantes Rocks,Cerrantes Rocks,6.32,Port Townsend,48 31.67,124 27.17,48.5353,-124.4547,Intertidal ledges and reef areas at Cerantes Rocks.,LOW,632,218,BC,CANADA,0
Folger,Folger,6.33,Victoria,unknown,unknown,,,unknown,,633,532,BC,CANADA,0
Wouwer,Wouwer,6.34,Victoria,unknown,unknown,,,unknown,,634,533,BC,CANADA,0
Felice Chain/Mara,Felice Chain/Mara,6.35,Victoria,unknown,unknown,,,unknown,,635,534,BC,CANADA,0
Forbes Rocks,Forbes Rocks,6.36,Victoria,unknown,unknown,,,unknown,,636,535,BC,CANADA,0
George Frasier Island,George Frasier Island,6.37,Victoria,unknown,unknown,,,unknown,,637,536,BC,CANADA,0
W-y-a Pt.,W-y-a Pt.,6.38,Victoria,unknown,unknown,,,unknown,,638,537,BC,CANADA,0
Rocks off Longbeach,Rocks off Longbeach (Outside Vancouver Island),6.39,Victoria,unknown,unknown,,,unknown,,639,538,BC,CANADA,0
S.W. Flores Is. Cow Bay,S.W. Flores Is. Cow Bay,6.4,Victoria,49 15.65,126 10.16,49.2681,-126.1711,S.W. of Flores Island,,640,,BC,CANADA,0
Rafael Point,Rafael Point,6.41,Victoria,unknown,unknown,,,Rafael Point,,641,539,BC,CANADA,0
Rks. Off Kanim Lake,Rks. Off Kanim Lake,6.42,Victoria,unknown,unknown,,,unknown,,642,541,BC,CANADA,0
Hesquiat Pt.,Hesquiat Pt.,6.43,Victoria,unknown,unknown,,,unknown,,643,542,BC,CANADA,0
Rks. Off Estevan Pt.,Rks. Off Estevan Pt.,6.44,Victoria,unknown,unknown,,,unknown,,644,543,BC,CANADA,0
Adventure Point,Adventure Point,6.45,Victoria,unknown,unknown,,,Adventure Point,,645,,BC,CANADA,0
Plover,Plover,6.46,Victoria,unknown,unknown,,,unknown,,646,545,BC,CANADA,0
Escalante Point Nootka Sound,Escalante Point Nootka Sound,6.47,Victoria,unknown,unknown,,,Escalante Point Nootka Sound,,647,,BC,CANADA,0
Slant Rock,Slant Rock,6.48,Victoria,48 23.47,124 40.85,48.3964,-124.6903,Slant Rock,,648,,Strait of Juan de Fuca,Northern Inland,0
Neah Bay Marina,Neah Bay Marina,6.49,Victoria,48 22.1,124 36.7,48.3669,-124.6019,NEAH BAY MARINA,ALL,649,,Strait of Juan de Fuca,Northern Inland,0
Low Point to  Cresent bay,Lyre River to Cresent Bay,6.51,Victoria,48  9.37,123 46 6,48.1603,-123.7683,Intertidal rocks and reefs between Low point and Cresent bay,Low,651,,Strait of Juan de Fuca,Northern Inland,0
In Tow,In Tow,6.89,Victoria,,,,,animals in tow,,689,,Strait of Juan de Fuca,Northern Inland,0
Unspecified-H2O,Unspecified-H2O,6.99,Port Townsend,?,?,,,Animals in open water,ALL,699,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,7,Port Townsend,,,,,unknown haul out location 7.00,,700,,Strait of Juan de Fuca,Northern Inland,0
Graveyard Spit,Dungeness Bay/Graveyard Spit,7.01,Port Townsend,48  9.65,123  8.86,48.1681,-123.1572,Beach areas around Graveyard Spit in Dungeness Bay. Nursery area.,LOW,701,219,Strait of Juan de Fuca,Northern Inland,0
Dungeness Bay Area,Dungeness Bay/Graveyard Spit,7.03,Port Townsend,48 10.05,123  8.56,48.1681,-123.1489,Along beach on east side of Dungeness Bay.,LOW,701,221,Strait of Juan de Fuca,Northern Inland,0
Dungeness Bay Area,Dungeness Bay/Graveyard Spit,7.03,Port Townsend,48  9.65,123  9.34,48.1681,-123.1594,Along north side of main channel in Dungeness Bay.,LOW,701,222,Strait of Juan de Fuca,Northern Inland,0
Dungeness Spit End,Dungeness Bay/Graveyard Spit,7.02,Port Townsend,48 11.07,123  5.98,48.1853,-123.1106,On beach at tip of Dungeness Spit.,LOW,702,220,Strait of Juan de Fuca,Northern Inland,0
Grays Marsh (Kulakala Pt),Kulakala Pt/Grays Marsh,7.04,Port Townsend,48  7.14,123  3.59,48.1206,-123.0664,Beach and shoal areas near Gray's Marsh (Kulakala Point).,LOW,704,223,Strait of Juan de Fuca,Northern Inland,0
"Protection Is, Kanem Spit",Protection Is/Kanem Spit,7.05,Port Townsend,48  7.13,122 56.70,48.1203,-122.9528,On beach and spit areas around Kanem Point. Nursery area.,LOW,705,224,Strait of Juan de Fuca,Northern Inland,0
"Protection Is, Violet Pt",Protection Island/Violet Pt & North Pt,7.06,Port Townsend,48  7.63,122 54.47,48.1342,-122.9131,On beach area around Violet Point. Nursery area.,LOW,706,225,Strait of Juan de Fuca,Northern Inland,0
Smith Is. Area,Smith Island Area,7.07,Port Townsend,48 19.08,122 50.20,48.3189,-122.8389,On beaches and rocks on south side of island.,LOW,707,226,Strait of Juan de Fuca,Northern Inland,0
Smith Is. Area,Smith Island Area,7.07,Port Townsend,48 19.21,122 50.10,48.3225,-122.8361,On scattered rocks along north side of island.,LOW,707,227,Strait of Juan de Fuca,Northern Inland,0
Minor Is. Area,Minor Is. Area,7.08,Port Townsend,48 19.33,122 49.37,48.3258,-122.8269,On beach along south side of island. Nursery area.,LOW,708,228,Strait of Juan de Fuca,Northern Inland,0
Minor Is. Area,Minor Is. Area,7.08,Port Townsend,48 19.46,122 48.97,48.3294,-122.8269,On beach along north side of island. Nursery area.,LOW,708,229,Strait of Juan de Fuca,Northern Inland,0
Kilisut Harbor Spit,Rat Island/ Enterence to Kilisut Harbaor,7.09,Port Townsend,48  5.32,122 43.99,48.0922,-122.7442,Along beach and spit at entrance into Kilisut Harbor.,LOW,709,230,Strait of Juan de Fuca,Northern Inland,0
E of Marrowstone Is.,Craven Rocks/Eratics/East Side Marowstone Isl,7.1,Port Townsend,48  2.86,122 40.72,48.0572,-122.6867,Scattered intertidal rocks along northeast side of island.,LOW,710,231,Strait of Juan de Fuca,Northern Inland,0
E of Marrowstone Is.,Craven Rocks/Eratics/East Side Marowstone Isl,7.1,Port Townsend,48  4.69,122 41.11,48.0858,-122.6864,Scattered intertidal rocks along southeast side of island.,LOW,710,232,Strait of Juan de Fuca,Northern Inland,0
Craven Rock,Craven Rocks/Eratics/East Side Marowstone Isl,7.1,Port Townsend,48  4.72,122 41.21,48.0867,-122.6892,Craven rock,ALL,710,,Strait of Juan de Fuca,Northern Inland,0
"Sequim Bay, Kiapot Pt",SEQUIM BAY/TRAVIS SPIT,7.12,Port Townsend,48  4.74,123  2.41,48.0872,-123.0447,West end of Kiapot Point at entrance to Sequim Bay.,LOW,712,233,Strait of Juan de Fuca,Northern Inland,0
Discovery Bay Area,DISCOVERY BAY/CONTRACTORS POINT,7.14,Port Townsend,48  2.87,122 52.28,48.0575,-122.8744,Along beaches and spit areas on west side of Discovery Bay.,LOW,714,234,Strait of Juan de Fuca,Northern Inland,0
Snake Rock,KLAS/COLVOS/SNAKE ROCKS,7.15,Port Townsend,47 56.90,122 40.68,47.9583,-122.6856,Intertidal shoal and rocks around Snake rock,High high,715,,Strait of Juan de Fuca,Northern Inland,0
Klas Rocks,KLAS/COLVOS/SNAKE ROCKS,7.15,Port Townsend,47 57.75,122 40.24,47.9708,-122.6733,Intertidal shoals around Klas Rock.,LOW,715,235,Strait of Juan de Fuca,Northern Inland,0
Colvos Rocks,KLAS/COLVOS/SNAKE ROCKS,7.15,Port Townsend,47 56.96,122 39.96,47.96,-122.6767,Intertidal shoals and rocks around Colvos Rock.,LOW,715,236,Strait of Juan de Fuca,Northern Inland,0
Rocks off Tala Pt.,ERRATIC S OF TALA PT,7.16,Port Townsend,47 55.61,122 39.21,47.9336,-122.6558,Scattered intertidal rocks off Tala Point.,ALL,716,253,Strait of Juan de Fuca,Northern Inland,0
Indian Is. Security Fence,NAVY INDIAN IS PORT SECURITY BARRIER,7.17,Port Townsend,48   4.5,122 45.2,48.0001,-122.7506,Navy Indian Island Navy Port Security Barrier,ALL,717,,Strait of Juan de Fuca,Northern Inland,0
South of Crane point/ west side of Indian island,CRANE PT/WEST SIDE INDIAN IS,7.18,Port Townsend,48   2.5,122 44.5,48.0001,-122.7347,Intertidal rocks just N of Marrow stone Bridge,LOW,718,,Strait of Juan de Fuca,Northern Inland,0
Pt. Wilson Red Buoy,Pt. Wilson Red Buoy,7.19,Port Townsend,48  9.17,122 45.62,48.1547,-122.7672,,ALL,719,,Strait of Juan de Fuca,Northern Inland,1
Port Townsend Red Buoy,Port Townsend Red Buoy,7.2,Port Townsend,48  7.66,122 44.66,48.135,-122.7517,,ALL,720,,Strait of Juan de Fuca,Northern Inland,1
In Tow,In Tow,7.89,Port Townsend,,,,,animals in tow,,789,,Strait of Juan de Fuca,Northern Inland,0
Unspecified-H2O,Unspecified-H2O,7.99,Port Townsend,?,?,,,Animals in open water,ALL,799,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,8,Seattle,,,,,unknown haul out location 8.00,,800,,Hood Canal,Hood Canal,0
Port Gamble Bay,Port Gamble Bay/Log Booms/Net pen,8.02,Seattle,47 50.39,122 34.90,47.8442,-122.5917,North log booms along west side of Port Gamble Bay.,ALL,802,237,Hood Canal,Hood Canal,0
Port Gamble Bay,Port Gamble Bay/Log Booms/Net pen,8.02,Seattle,47 50.01,122 34.90,47.8336,-122.5917,South log booms along west side of Port Gamble Bay.,ALL,802,238,Hood Canal,Hood Canal,0
Quilcene Bay,Quilcene Bay/Log Booms/Net PEN,8.03,Seattle,47 48.86,122 51.05,47.8239,-122.8514,Log booms on east side of bay.,HIGH,803,239,Hood Canal,Hood Canal,0
